;dd
0;0,005441599201501241
1;0,3121810794127805
2;2,6937412070835647
3;3,431322727702104
4;0,2639553617844034
5;0,6488054950082978
6;4,918995290786693
7;0,024844482889025573
8;0,09812136265414247
9;0,012828268016446537
10;0,6661240553757608
11;0,6906955914759011
12;2,5367976107236054
13;0,42312291568025723
14;0,8209056566922184
15;0,0003839634117219534
16;0,1042607002940839
17;1,6010197105280695
18;0,9328089719287644
19;0,21308491400702473
20;0,0013238870809373824
21;1,0960829535945535
22;0,11711601738071321
23;0,0018105780533919753
24;0,11316052746257715
25;0,08471227552722513
26;0,20620280831812418
27;0,7935346996064536
28;0,48518427435456735
29;0,6883823139889629
30;2,0391816265535208
31;1,0339202783422237
32;0,18465999430082267
33;0,26072900443926367
34;0,03142666641244943
35;0,0026695241408220107
36;0,8952363839143171
37;1,7306713772849054
38;0,9185629451680242
39;0,8122450868370804
40;0,012503383963840674
41;0,059357926574667166
42;2,793562640044683
43;0,749416134340305
44;0,08395384119925592
45;0,18827625981905072
46;0,28189929645156614
47;0,39960443041304694
48;0,4953189488796745
49;0,0809036074967373
50;7,346521266772626
51;1,5861902317258592
52;2,606819594648946
53;0,000138881845762762
54;1,0278924152272344
55;0,13449582927577777
56;0,7360786510009217
57;0,026153510598393263
58;2,8548829029928307
59;0,6521846513744997
