;sss
0;3,0506276027328916
1;3,031480266740709
2;3,0045874110410864
3;3,007660217919728
4;3,0118383943853724
5;3,02157020790671
6;3,0244111874762485
7;3,036264653152427
8;3,0676212710289477
9;3,0090545328947798
10;3,001388325576987
11;3,050401411187771
12;3,012171387912156
13;3,0115794541089183
14;3,0181976521607514
15;3,0054537589994945
16;3,0184138799294864
17;3,00219447648103
18;3,0207947741172054
19;3,003344264412547
20;3,007714778284095
21;3,006523442592925
22;3,015894750965818
23;3,0015242646699978
24;3,0242555930750665
25;3,0533362993201436
26;3,05289005761163
27;3,01128521060857
28;3,0466690632642726
29;3,000810524594395
30;3,0135254710269757
31;3,0860888383724365
32;3,0021126602940043
33;3,041942262913177
34;3,0020354172807657
35;3,101258847814923
36;3,0112652432676974
37;3,0236393084686295
38;3,102379954979476
39;3,0090288949349286
40;3,0146227043583753
41;3,0004327290691304
42;3,0191229004250273
43;3,0342862310567185
44;3,0054062373809503
45;3,0547273853860446
46;3,0405951569208534
47;3,026201181195889
48;3,0180061337655464
49;3,0509915440512847
50;3,0061202794396493
51;3,0053811366276486
52;3,0507058460706977
53;3,0016887893169804
54;3,018320741388706
55;3,0160650881699107
56;3,002189555153441
57;3,0430046826032466
58;3,0086323851339376
59;3,0070981215917367
60;3,012118014341307
61;3,0213940615568755
62;3,0450952361435144
63;3,01578296491658
64;3,033024954659079
65;3,0040840533755313
66;3,00339053637038
67;3,0033172971043145
68;3,0255281238269776
69;3,0404645348399857
70;3,004675970562409
71;3,025695921590633
72;3,0719139674409615
73;3,0631239147831164
74;3,0341654678339385
75;3,0291092457432685
76;3,0094193485650647
77;3,0081523170706994
78;3,001621950588139
79;3,0066619052586754
80;3,018903585582532
81;3,01814238806981
82;3,014242887124227
83;3,005876808120205
84;3,002259034477149
85;3,0288558835848685
86;3,06124068199581
87;3,0133948343108683
88;3,0267291788385817
89;3,011306711301552
90;3,0112551798608047
91;3,023047524421201
92;3,015223217646593
93;3,020013579640154
94;3,026796405513781
95;3,000589906572057
96;3,020357206291643
97;3,0085967715134645
98;3,0199150836092867
99;3,0110853118154033
100;3,0165603208891265
101;3,008850714689738
102;3,001733051276095
103;3,0120030274354455
104;3,0003612770781105
105;3,0014051938019826
106;3,072233415390376
107;3,008703241129926
108;3,0384295294833534
109;3,094505125867492
110;3,0033475618129564
111;3,020299451548102
112;3,010113763783571
113;3,0022166331935525
114;3,01141007909051
115;3,0119533158076517
116;3,011550301682232
117;3,001279275282177
118;3,079452866686648
119;3,0203796648691066
120;3,00614524350903
121;3,019559438382063
122;3,0049022962456116
123;3,013063672975422
124;3,0020734581698982
125;3,042293503135222
126;3,0159195866789252
127;3,0156534043406986
128;3,1282939710048288
129;3,0128527020438893
130;3,0229910882924997
131;3,0417246088562044
132;3,0703872928143956
133;3,001113508475388
134;3,0140824384726193
135;3,073362046041896
136;3,0415074577515435
137;3,029034304045169
138;3,0063244099803113
139;3,0231057144770563
140;3,05476253574172
141;3,002509671929548
142;3,002117880211216
143;3,0051340653863012
144;3,0377737736356516
145;3,0083742191044616
146;3,035950939981599
147;3,012447383899139
148;3,001734801223642
149;3,031892055563128
150;3,0569745504417227
151;3,0355112541038496
152;3,017055085305664
153;3,0185147810249213
154;3,008883853032721
155;3,0043316835295846
156;3,012659950386417
157;3,025117626996324
158;3,0000060217379385
159;3,0100479743192103
160;3,014103276583562
161;3,011538034484988
162;3,0364260454272545
163;3,0252169607103467
164;3,006036082279238
165;3,0471757801139914
166;3,004232909979491
167;3,0034477882075397
168;3,0000655594390526
169;3,0051225092645453
170;3,008648769088243
171;3,006648015439632
172;3,0324853546554236
173;3,0038154748462045
174;3,012127412931026
