;normal-d;Binomial-d;Poisson-d;Chi-Quadrat-d;F-d;t-d;addi
0;10,04889156;1;3;0,046790128;5,227070904;0,6840894040000001;10,095681687999999
1;10,03560696;1;7;2,272391793;2,126835866;-3,2197077430000003;12,307998753000001
2;9,9874776;2;7;4,056958775;0,729870123;0,540744918;14,044436375
3;9,95550262;2;5;1,434994388;0,965980452;0,314160406;11,390497008
4;10,01419626;1;6;0,06971426;0,391248739;-0,117219197;10,08391052
5;9,954383466;1;3;1,692071914;0,083223477;-1,414773509;11,646455379999999
6;9,943408529;1;4;1,232931246;19,8864078;1,036360271;11,176339774999999
7;10,00595276;2;5;0,0009793669999999999;4,130793809;0,402489861;10,006932126999999
8;9,986736494;3;3;0,34210209799999997;0,6419338929999999;0,008524364;10,328838592
9;9,953597658;3;0;4,474816754;0,36017934799999995;3,153265409;14,428414411999999
10;9,993057803;3;5;1,004077589;0,086917489;1,0981668820000001;10,997135391999999
11;10,02597839;1;2;3,307304752;0,33956577299999996;-0,35963586700000005;13,333283142
12;9,976259969;3;4;0,112531898;2,692681793;1,338833422;10,088791867
13;10,07271756;4;3;1,460026964;0,8264992170000001;-0,587224192;11,532744524
14;10,05734034;2;4;0,352621171;1,4625924030000002;0,028372581;10,409961510999999
15;9,990619476;2;3;2,801161037;1,056553363;-0,327621;12,791780513
16;9,931532592;1;6;0,414964665;0,10075098800000001;-2,270170383;10,346497257
17;10,05432854;2;4;0,026573238;0,364898647;0,296812745;10,080901778
18;10,09352578;3;4;0,020043916999999998;1,74253408;0,6208359689999999;10,113569697
19;10,04031516;4;3;0,377450936;35,72789605;-0,20788773800000002;10,417766096000001
20;10,02732757;3;3;2,621043977;5,003307627;2,471845645;12,648371547
21;9,956383472999999;2;5;0,14369775;0,041387589;0,538830175;10,100081222999998
22;9,957403141;1;0;0,302825987;0,944260958;-1,279321011;10,260229128
23;9,896459237;2;4;0,028324979;0,049172053;2,542574842;9,924784216
24;10,03292396;1;5;0,569866654;0,343141586;-6,304832662999999;10,602790614
25;9,973581265;2;2;0,33891834299999996;1,894919597;-2,657332336;10,312499608
