Unnamed: 0;iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;tests_per_case;positive_rate;tests_units;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index
18797;DEU;Europe;Germany;2019-12-31;;0,0;;;0,0;;;0,0;;;0,0;;;;;;;;;;;;;;;;;;;;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,9359999999999999
18798;DEU;Europe;Germany;2020-01-01;;0,0;;;0,0;;;0,0;;;0,0;;;;;;;;;;;;;;;;;;;0,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,9359999999999999
18799;DEU;Europe;Germany;2020-01-02;;0,0;;;0,0;;;0,0;;;0,0;;;;;;;;;;;;;;;;;;;0,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,9359999999999999
18800;DEU;Europe;Germany;2020-01-03;;0,0;;;0,0;;;0,0;;;0,0;;;;;;;;;;;;;;;;;;;0,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,9359999999999999
18801;DEU;Europe;Germany;2020-01-04;;0,0;;;0,0;;;0,0;;;0,0;;;;;;;;;;;;;;;;;;;0,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,9359999999999999
18802;DEU;Europe;Germany;2020-01-05;;0,0;;;0,0;;;0,0;;;0,0;;;;;;;;;;;;;;;;;;;0,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,9359999999999999
18803;DEU;Europe;Germany;2020-01-06;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;;;;;;;;;;;;;;;;;0,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,9359999999999999
18804;DEU;Europe;Germany;2020-01-07;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;;;;;;;;;;;;;;;;;0,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,9359999999999999
18805;DEU;Europe;Germany;2020-01-08;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;;;;;;;;;;;;;;;;;0,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,9359999999999999
18806;DEU;Europe;Germany;2020-01-09;;0,0;0,0;;0,0;0,0;;0,0;0,0;;0,0;0,0;;;;;;;;;;;;;;;;;;0,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,9359999999999999
