;normal-d;Binomial-d;Poisson-d;Chi-Quadrat-d;F-d;t-d;addi;min;multi;diff
0;10,04889156;1;3;0,046790128;5,227070904;0,6840894040000001;11,04889156;10,04889156;111,02911314463923;1,0
1;10,03560696;1;7;2,272391793;2,126835866;-3,2197077430000003;11,03560696;10,03560696;110,74901401560047;1,0
2;9,9874776;2;7;4,056958775;0,729870123;0,540744918;11,9874776;9,9874776;119,72466401050175;1,0
3;9,95550262;2;5;1,434994388;0,965980452;0,314160406;11,95550262;9,95550262;119,02303765682689;1,0
4;10,01419626;1;6;0,06971426;0,391248739;-0,117219197;11,01419626;10,01419626;110,298322993798;1,0
5;9,954383466;1;3;1,692071914;0,083223477;-1,414773509;10,954383466;9,954383466;109,04413365417416;1,0
6;9,943408529;1;4;1,232931246;19,8864078;1,036360271;10,943408529;9,943408529;108,81478170358993;1,0
7;10,00595276;2;5;0,0009793669999999999;4,130793809;0,402489861;12,00595276;10,00595276;120,13099615535161;1,0
8;9,986736494;3;3;0,34210209799999997;0,6419338929999999;0,008524364;12,986736494;9,986736494;129,69511528259142;1,0
9;9,953597658;3;0;4,474816754;0,36017934799999995;3,153265409;12,953597658;9,953597658;128,9348993113431;1,0
10;9,993057803;3;5;1,004077589;0,086917489;1,0981668820000001;12,993057803;9,993057803;129,84037766309916;1,0
11;10,02597839;1;2;3,307304752;0,33956577299999996;-0,35963586700000005;11,02597839;10,02597839;110,54622106674701;1,0
12;9,976259969;3;4;0,112531898;2,692681793;1,338833422;12,976259969;9,976259969;129,45454287607186;1,0
13;10,07271756;4;3;1,460026964;0,8264992170000001;-0,587224192;14,07271756;10,07271756;141,75050928353232;1,0
14;10,05734034;2;4;0,352621171;1,4625924030000002;0,028372581;12,05734034;10,05734034;121,26477539459131;1,0
15;9,990619476;2;3;2,801161037;1,056553363;-0,327621;11,990619476;9,990619476;119,79371646623053;1,0
16;9,931532592;1;6;0,414964665;0,10075098800000001;-2,270170383;10,931532592;9,931532592;108,56687221795823;1,0
17;10,05432854;2;4;0,026573238;0,364898647;0,296812745;12,05432854;10,05432854;121,19817947025854;1,0
