Date, Time, Temperature, Humidity, Pressure1, Pressure2, Statement1
06.01.2020,00:00:25,5.90000009537,86.6999969482,99585,1033.55743588,sonnig
06.01.2020,00:01:26,5.90000009537,86.6999969482,99585,1033.55743588,sonnig
06.01.2020,00:02:26,5.90000009537,86.6999969482,99586,1033.56781452,sonnig
06.01.2020,00:03:27,5.90000009537,86.6999969482,99582,1033.52629994,sonnig
06.01.2020,00:04:28,5.90000009537,86.6999969482,99582,1033.52629994,sonnig
06.01.2020,00:05:28,5.90000009537,86.6999969482,99582,1033.52629994,sonnig
06.01.2020,00:06:29,5.90000009537,86.6999969482,99575,1033.45364942,sonnig
06.01.2020,00:07:29,5.90000009537,86.6999969482,99581,1033.51592129,sonnig
06.01.2020,00:08:30,5.90000009537,86.6999969482,99576,1033.46402807,sonnig
06.01.2020,00:09:31,6.0,86.8000030518,99579,1033.495164,sonnig
06.01.2020,00:10:31,6.0,86.8000030518,99581,1033.51592129,sonnig
06.01.2020,00:11:32,6.0,86.8000030518,99582,1033.52629994,sonnig
06.01.2020,00:12:33,6.0,86.8000030518,99579,1033.495164,sonnig
06.01.2020,00:13:33,6.0,86.8000030518,99571,1033.41213484,sonnig
06.01.2020,00:14:34,5.90000009537,86.6999969482,99581,1033.51592129,sonnig
06.01.2020,00:15:35,6.0,86.8000030518,99578,1033.48478536,sonnig
06.01.2020,00:16:35,6.0,86.8000030518,99575,1033.45364942,sonnig
06.01.2020,00:17:36,6.0,86.8000030518,99574,1033.44327077,sonnig
06.01.2020,00:18:37,6.0,86.8000030518,99571,1033.41213484,sonnig
06.01.2020,00:19:37,6.0,86.8000030518,99572,1033.42251348,sonnig
06.01.2020,00:20:38,6.0,86.8000030518,99579,1033.495164,sonnig
06.01.2020,00:21:39,6.0,86.8000030518,99583,1033.53667859,sonnig
06.01.2020,00:22:42,6.0,86.8000030518,99586,1033.56781452,sonnig
06.01.2020,00:23:43,6.09999990463,86.9000015259,99579,1033.495164,sonnig
06.01.2020,00:24:48,6.0,86.8000030518,99582,1033.52629994,sonnig
