Unnamed: 0;Unnamed: 0.1;Y
0;0;10,200430548502426
1;1;10,200846508515887
2;2;10,197655330293369
3;3;10,200478701801998
4;4;10,203491281002693
5;5;10,200298547329371
6;6;10,199105113422528
7;7;10,201627385143984
8;8;10,198152099802911
9;9;10,200421963224452
10;10;10,201552979575007
11;11;10,196981338618198
12;12;10,198190911573937
13;13;10,198783679241952
14;14;10,19816944766452
15;15;10,200031017688044
16;16;10,198700143252452
17;17;10,203379123335374
18;18;10,203638703825568
19;19;10,198049013841992
20;20;10,198466564200087
21;21;10,20127472501562
22;22;10,198510851311497
23;23;10,201333284292977
24;24;10,198685789757018
25;25;10,201378269140063
26;26;10,2012318363046
27;27;10,201030496985098
28;28;10,204046122752525
29;29;10,198904432010186
30;30;10,198807261340336
31;31;10,202016835826743
32;32;10,201369289861928
33;33;10,200191004117462
34;34;10,201991908471914
35;35;10,19728725633551
36;36;10,20028758273306
37;37;10,200287980522264
38;38;10,199523055015025
39;39;10,195186844382729
40;40;10,201226560860952
41;41;10,201919533807777
42;42;10,19730683977417
43;43;10,201655316181927
44;44;10,202196609610766
45;45;10,20131891942609
46;46;10,203028591842417
47;47;10,201002972667908
48;48;10,20007761125234
49;49;10,200285975219536
